GVKEY;DATADATE;SIC;AT;CHE;DLC;DLTT;SEQ;WCAP;DVC;OIBDP;SALE;TXT;XINT;XRD;AQC;CAPX;CSHO;PRCC_F;market_to_book;log_firm_size;cf;nwc;capex;leverage;div;rd_to_sales;sic_2;ind_cf_vol;ind_cf_no_level_vol;cash;log_cash;aqc_to_asset;year
014694;20150831;6726;;;;;;;;;;;;;;;8.2240;14.7200;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014698;20150331;6726;;;;;;;;;;;;;;;10.7090;20.0100;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014700;20151231;6726;;;;;;;;;;;;;;;277.9350;8.9600;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014701;20151231;6726;;;;;;;;;;;;;;;7.5640;16.8900;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014703;20151231;6726;;;;;;;;;;;;;;;52.2570;2.7800;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014706;20150930;6726;;;;;;;;;;;;;;;8.7760;14.1000;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014708;20151231;6726;;;;;;;;;;;;;;;219.2450;5.3100;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014710;20151231;6726;;;;;;;;;;;;;;;8.7190;8.0611;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014714;20151231;6726;;;;;;;;;;;;;;;24.7530;4.5800;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014715;20151231;6726;;;;;;;;;;;;;;;8.7910;14.3800;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014716;20150930;6726;;;;;;;;;;;;;;;36.4900;27.6000;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014718;20151231;6726;;;;;;;;;;;;;;;27.8430;10.5600;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014725;20151130;6726;;;;;;;;;;;;;;;15.4540;8.0600;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014728;20150630;6726;;;;;;;;;;;;;;;7.8920;40.5700;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014729;20151231;6726;;;;;;;;;;;;;;;182.7540;5.3500;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014733;20151130;6726;;;;;;;;;;;;;;;32.6010;5.2600;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014734;20151031;6726;;;;;;;;;;;;;;;117.9260;4.5600;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014735;20151031;6726;;;;;;;;;;;;;;;77.6170;5.9400;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014737;20151031;6726;;;;;;;;;;;;;;;41.1880;6.5300;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014739;20151231;6726;;;;;;;;;;;;;;;19.6340;17.2500;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014740;20151031;6726;;;;;;;;;;;;;;;15.0840;18.3320;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014743;20151231;6726;;;;;;;;;;;;;;;23.3690;7.6600;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014747;20151031;6726;;;;;;;;;;;;;;;8.2870;11.0500;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014748;20151031;6726;;;;;;;;;;;;;;;205.6280;10.0700;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014749;20150930;6726;;;;;;;;;;;;;;;15.1910;9.7100;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014750;20151031;6726;;;;;;;;;;;;;;;64.0600;13.7000;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014752;20151231;6726;;;;;;;;;;;;;;;9.4620;13.0200;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014753;20151231;6726;;;;;;;;;;;;;;;27.3930;17.7400;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014757;20150831;6726;;;;;;;;;;;;;;;15.3160;7.3300;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014760;20150930;6726;;;;;;;;;;;;;;;57.3130;4.5100;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014763;20151231;6726;;;;;;;;;;;;;;;77.2510;11.7700;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014769;20151231;6726;;;;;;;;;;;;;;;47.6870;5.2700;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014770;20150831;6726;;;;;;;;;;;;;;;134.1440;6.2200;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014771;20151231;6726;;;;;;;;;;;;;;;12.5110;6.8600;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014772;20150331;6726;;;;;;;;;;;;;;;6.3190;20.3800;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014777;20151231;6726;;;;;;;;;;;;;;;20.3560;13.1400;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014779;20150930;6726;;;;;;;;;;;;;;;61.8490;8.1800;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014790;20151231;1531;2690.5220;262.2080;17.1390;1110.6460;1258.9370;;0.0000;207.8570;2579.4590;60.7260;67.5420;;0.0000;16.0920;39.6690;33.9900;1.0332323282;7.8974905058;0.0295812485;;0.0059809955;0.4191695887;0;0;15;0.1018316723;419.39519344;0.0974561814;-2.225814386;0;2015
014794;20151231;3089;139.8030;8.9430;3.7160;9.7500;88.7330;32.6220;;;199.0680;6.1180;0.3300;;;;7.5970;12.8300;1.0624915774;4.9402342888;;0.1693740478;;0.096321252;0;0;30;0.027018306;126.03280814;0.0639685844;-2.683256946;;2015
014804;20150731;6726;;;;;;;;;;;;;;;121.2830;5.1000;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014822;20151231;6331;21730.9670;1140.3280;79.8290;2142.1470;4600.2460;;58.0340;846.1480;7144.2290;227.9230;130.9460;;0.0003;63.5620;123.3080;54.7500;1.0989770497;9.986493573;0.0197526875;;0.0029249504;0.1022492924;1;0;63;0.0233668766;856.47686929;0.0524747932;-2.893520615;1.5483819E-8;2015
014824;20151231;6331;18888.0000;1003.0000;48.0000;808.0000;6427.0000;;377.0000;970.0000;5142.0000;247.0000;53.0000;;0.0000;10.0000;163.9440;59.1700;1.1733146167;9.8462820788;0.0155124947;;0.0005294367;0.0453197798;1;0;63;0.0233668766;856.47686929;0.0531024989;-2.880966864;0;2015
014828;20151231;6331;17110.5000;1676.5000;3.5000;958.2000;3880.8000;;191.3000;700.3000;5765.9000;209.7000;42.9000;;0.0000;0.0000;261.9680;18.6300;1.0584239993;9.7474475891;0.0149849508;;0;0.0562052541;1;0;63;0.0233668766;856.47686929;0.097980772;-2.219864581;0;2015
014846;20151231;6726;;;;;;;;;;;;;;;44.6640;13.3700;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014847;20151130;6726;;;;;;;;;;;;;;;6.0540;15.7500;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014868;20150331;5411;359.1360;36.3620;2.7500;254.3360;-22.6030;17.5670;0.0000;11.2230;797.5550;3.5230;20.2650;0.0000;0.0000;31.8900;43.5880;6.7700;1.8846057204;5.8837011468;-0.034986746;-0.052333935;0.0887964448;0.7158458077;0;0;54;0.0392141518;163.80987147;0.1012485521;-2.183428115;0;2015
014891;20151231;2085;194.3100;0.7470;3.3450;30.1150;116.1600;53.5190;1.0870;44.7720;327.6040;12.2270;0.8310;0.7480;0.0000;30.5260;16.6820;25.9500;2.6300648448;5.2694548219;0.1576192682;0.2715866399;0.1570994802;0.1721990634;1;0.0022832444;20;0.0427437163;220.10805184;0.0038443724;-5.557293135;0;2015
014894;20150331;4812;182020.9050;15944.4450;18745.1550;33315.9750;98225.3250;-13439.2500;4351.0500;17387.8650;62707.0950;-7076.0250;2647.7550;207.9000;0.0252;9753.4800;2651.2040;32.6800;0.9363590777;12.111876822;0.0959509843;-0.161430331;0.0535843946;0.2860173121;1;0.0033154143;48;0.0466568352;939.83483306;0.0875967791;-2.343337792;1.3863211E-7;2015
014898;20151231;3559;893.2750;155.6430;0.5290;8.1870;655.9090;286.9960;0.0000;25.2460;666.1630;8.9720;2.0110;92.7700;0.1028;22.3990;112.2230;8.6900;1.3574586438;6.7948944842;0.0159670874;0.1470465422;0.0250751448;0.0097573536;0;0.1392602111;35;0.0501003464;196.94355338;0.1742386163;-1.555880132;0.000115045;2015
014924;20151231;6512;271.4800;207.3540;0.0000;0.0000;265.5650;226.5680;;-8.6600;2.9780;0.0000;0.3600;;0.0000;2.3490;36.7000;5.7900;0.8045086194;5.6038884718;;0.0707750111;0.0086525711;0;0;0;65;0.0519744322;71.183897977;0.7637910712;1.1735775796;0;2015
014934;20151231;1311;29532.0000;2310.0000;976.0000;12137.0000;7049.0000;731.0000;396.0000;-15891.0000;13145.0000;-6065.0000;585.0000;;;6415.0000;418.0000;32.0000;1.214242178;10.2932297;-0.365942029;-0.053467425;0.2172219965;0.4440268184;1;0;13;0.0687633843;637.89147291;0.0782202357;-2.466777945;;2015
014954;20150831;3523;536.4680;139.0930;0.1930;117.1730;288.5600;227.0550;12.7720;73.9070;560.1810;20.4420;2.6260;12.8490;0.1296;15.2440;11.2900;76.2300;2.0663761865;6.2850069144;0.070958566;0.1639650454;0.028415488;0.2187753976;1;0.0229372292;35;0.0501003464;196.94355338;0.2592754833;-1.049737645;0.0002415619;2015
014960;20151231;8071;14221.7000;716.4000;424.9000;5992.1000;4944.4000;961.5000;0.0000;1714.0000;8680.1000;294.1000;222.3000;;0.2627;255.8000;101.3000;123.6400;1.5330116653;9.5625242461;0.0842093421;0.0172342266;0.0179865979;0.4512118804;0;0;80;0.0713741736;153.43965487;0.0503737247;-2.93659881;0.0000184716;2015
014969;20150930;6726;;;;;;;;;;;;;;;20.7190;9.4500;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
014971;20150831;6726;;;;;;;;;;;;;;;64.0430;9.6500;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
