Day;Date;Spot;Vol;Rate;Hedge;Rehedge_Value;Option_Value;Interpolated_Vol;Delta;Maturity;Forward;Hedge_Position;Stock_Position;Trading_Gain;Position_Value;Acc_Trading_Gain;Trades;Hedge_name;Scenario;Scenario_Group;Hedge_Type;Day_Type
0.25;2002-09-19;0.9776;10.5;-0.01526836;1;0.9776;20587.5748;0.105003556;-489352.1036;0.25297619;0.973831272;200000;[(200000.0,_0.9738312722594605)];;20587.5748;0;1;200k;scenario7;160;fix;First
0.25;2003-01-29;1.0813;10.325;-0.015089498;1;1.0813;22391.95211;0.103253514;-489527.0434;0.25297619;1.077180239;200000;[(200000.0,_1.0771802392637444)];;22391.95211;0;1;200k;scenario8;160;fix;First
0.25;2005-11-09;1.1781;9.375;0.020527364;1;1.1781;22171.01732;0.093746335;-490767.7921;0.25297619;1.184233708;200000;[(200000.0,_1.1842337081402092)];;22171.01732;0;1;200k;scenario9;160;fix;First
0.25;1999-03-31;1.0726;9.45;0.021048343;1;1.0726;20347.217;0.094496242;-490695.5462;0.25297619;1.078326538;200000;[(200000.0,_1.0783265376009332)];;20347.217;0;1;200k;scenario1;170;fix;First
0.25;2002-09-11;0.975;10.65;-0.015372985;1;0.975;20826.12557;0.10650358;-489202.5025;0.25297619;0.971215589;200000;[(200000.0,_0.9712155893526631)];;20826.12557;0;1;200k;scenario10;170;fix;First
0.25;2003-01-29;1.0813;10.325;-0.015089498;1;1.0813;22391.95211;0.103253514;-489527.0434;0.25297619;1.077180239;200000;[(200000.0,_1.0771802392637444)];;22391.95211;0;1;200k;scenario11;170;fix;First
0.25;2003-10-03;1.1695;11.05;-0.010485141;1;1.1695;25921.60864;0.110502442;-488840.3604;0.25297619;1.166402022;200000;[(200000.0,_1.1664020222396516)];;25921.60864;0;1;200k;scenario12;170;fix;First
0.25;2005-09-26;1.2038;9.175;0.018729419;1;1.2038;22170.68674;0.091746656;-490956.7003;0.25297619;1.209517255;200000;[(200000.0,_1.2095172550097841)];;22170.68674;0;1;200k;scenario13;170;fix;First
0.25;2005-11-08;1.1803;9.275;0.020480697;1;1.1803;21975.62358;0.092746344;-490869.5536;0.25297619;1.186431156;200000;[(200000.0,_1.18643115564876)];;21975.62358;0;1;200k;scenario14;170;fix;First
0.25;2006-02-07;1.1967;8.775;0.021252723;1;1.1967;21081.08153;0.087746206;-491387.9017;0.25297619;1.203151304;200000;[(200000.0,_1.2031513042155635)];;21081.08153;0;1;200k;scenario15;170;fix;First
0.25;2006-08-02;1.2825;8.225;0.024048757;1;1.2825;21179.15457;0.082245707;-491979.1216;0.25297619;1.290326208;200000;[(200000.0,_1.290326208218706)];;21179.15457;0;1;200k;scenario16;170;fix;First
0.25;2006-09-08;1.273;8.05;0.021043925;1;1.273;20573.55927;0.080496243;-492130.238;0.25297619;1.279795029;200000;[(200000.0,_1.2797950290504407)];;20573.55927;0;1;200k;scenario17;170;fix;First
